Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,335.04998779296875,336.6600036621094,334.3399963378906,336.6000061035156,326.6468200683594,32611900.0
2021-06-08,338.3999938964844,339.2900085449219,335.0299987792969,336.760009765625,326.8020324707031,27282800.0
2021-06-09,338.1700134277344,338.9700012207031,336.6499938964844,336.8399963378906,326.8796691894531,21485300.0
2021-06-10,337.19000244140625,340.4599914550781,336.7300109863281,340.3500061035156,330.2859191894531,33702100.0
2021-06-11,340.3599853515625,341.25,339.69000244140625,341.239990234375,331.1495056152344,21222800.0
2021-06-14,341.67999267578125,344.5199890136719,340.4599914550781,344.510009765625,334.3229064941406,27827700.0
2021-06-15,344.1499938964844,344.4700012207031,341.5199890136719,342.260009765625,332.1394348144531,35963800.0
2021-06-16,342.739990234375,343.8399963378906,337.45001220703125,341.010009765625,330.9263916015625,55399500.0
2021-06-17,339.9700012207031,346.3800048828125,339.9200134277344,345.3399963378906,335.1283569335937,59722700.0
2021-06-18,343.6300048828125,344.8099975585937,341.8599853515625,342.6300048828125,332.4985046386719,55414900.0
2021-06-21,342.42999267578125,344.69000244140625,340.1499938964844,344.3599853515625,334.5649108886719,32992600.0
2021-06-22,344.1499938964844,348.0299987792969,343.8399963378906,347.57000732421875,337.6836853027344,28941600.0
2021-06-23,347.510009765625,348.9200134277344,346.8800048828125,347.739990234375,337.8489074707031,27188500.0
2021-06-24,349.7300109863281,351.4599914550781,349.1700134277344,349.8900146484375,339.93768310546875,32581600.0
2021-06-25,350.4700012207031,350.7200012207031,348.8399963378906,349.4599914550781,339.5198669433594,28682800.0
2021-06-28,350.7799987792969,353.8500061035156,350.7200012207031,353.7099914550781,343.64898681640625,39130300.0
2021-06-29,353.5299987792969,355.0199890136719,352.6700134277344,354.989990234375,344.892578125,29426000.0
2021-06-30,354.8299865722656,355.2300109863281,353.8299865722656,354.42999267578125,344.3485412597656,32724000.0
2021-07-01,354.07000732421875,355.0899963378906,352.67999267578125,354.57000732421875,344.48455810546875,29290000.0
2021-07-02,356.5199890136719,358.9700012207031,356.2799987792969,358.6400146484375,348.43878173828125,32727200.0
2021-07-06,359.260009765625,360.4800109863281,356.489990234375,360.19000244140625,349.9447326660156,38842400.0
2021-07-07,362.4500122070313,362.760009765625,358.94000244140625,360.9500122070313,350.6829833984375,35265200.0
2021-07-08,355.739990234375,359.6499938964844,354.4200134277344,358.7699890136719,348.56512451171875,50890000.0
2021-07-09,358.1700134277344,361.5,357.57000732421875,361.010009765625,350.7413330078125,35184500.0
2021-07-12,362.4500122070313,362.8900146484375,360.8299865722656,362.4200134277344,352.1112060546875,25717700.0
2021-07-13,362.0299987792969,365.4700012207031,361.5400085449219,362.4200134277344,352.1112060546875,39723000.0
2021-07-14,364.8299865722656,365.489990234375,362.2200012207031,363.0700073242188,352.7427978515625,35336400.0
2021-07-15,362.9800109863281,363.1900024414063,358.4599914550781,360.5199890136719,350.2652893066406,53391600.0
2021-07-16,361.3999938964844,362.4100036621094,357.239990234375,357.6000061035156,347.4283142089844,47262000.0
2021-07-19,354.04998779296875,355.17999267578125,352.0400085449219,354.6700134277344,344.58172607421875,64404600.0
2021-07-20,355.6300048828125,360.2799987792969,353.79998779296875,358.7900085449219,348.58453369140625,42183700.0
2021-07-21,358.3500061035156,361.55999755859375,358.1199951171875,361.55999755859375,351.2757873535156,30259900.0
2021-07-22,361.7699890136719,363.9599914550781,361.7699890136719,363.9500122070313,353.5978088378906,30252200.0
2021-07-23,365.30999755859375,368.489990234375,363.9200134277344,368.2000122070313,357.72686767578125,31960800.0
2021-07-26,367.489990234375,368.8900146484375,366.6000061035156,368.489990234375,358.00860595703125,28438100.0
2021-07-27,368.2200012207031,368.2200012207031,360.1600036621094,364.4299926757813,354.0640563964844,57933100.0
2021-07-28,365.6000061035156,367.4500122070313,363.239990234375,365.8299865722656,355.4243469238281,42066200.0
2021-07-29,365.25,367.6799926757813,365.25,366.4800109863281,356.0557556152344,25672500.0
2021-07-30,362.4400024414063,365.1700134277344,362.4100036621094,364.5700073242188,354.2000732421875,36484600.0
2021-08-02,366.2799987792969,366.8800048828125,363.8699951171875,364.6000061035156,354.2292785644531,27334100.0
